pseudocode,state,district,block,rural_urban,lgd_vill_name,school_category,school_type,lowclass,highclass,managment,pincode,pre_primary,shift_school,resi_school,class_1_students,class_2_students,class_3_students,class_4_students,class_5_students,class_6_students,class_7_students,class_8_students,class_9_students,class_10_students,class_11_students,class_12_students,total_students,total_tch,regular,contract,part_time,total_class_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,total_boys_toilet,total_girls_toilet,desktop,laptop,tablet,internet,electricity_availability,library_availability,playground_available,structure_name,structure_status,classroom_repair_gap,has_internet,has_library
9680595,UTTAR PRADESH,BAREILLY,BHOJIPURA,1,Dohna Pitam Rai,2,3,1,8,5,243202,1,2,3,42,44,28,33,51,32,25,23,0,0,0,0,278,13,13,0,0,15,15,0,0,4,4,10,1,0,1,1,1,1,Upper Primary (1–8),STANDARD,0,True,True
9632192,UTTAR PRADESH,BAREILLY,RICHHA(DAMKHODA),2,,1,3,1,5,97,243201,2,2,3,0,5,23,10,10,0,0,0,0,0,0,0,48,6,0,6,0,10,10,0,0,2,4,3,0,0,1,1,1,1,Primary (1–5),STANDARD,0,True,True
1076458,UTTAR PRADESH,BAREILLY,FARIDPUR,1,Jhada,4,3,6,8,1,243506,9,2,3,0,0,0,0,0,55,62,42,0,0,0,0,159,2,2,0,0,4,2,2,0,1,1,0,0,2,1,1,1,1,Upper Primary (6–8),STANDARD,2,True,True
9087166,UTTAR PRADESH,BAREILLY,VITHARI CHAINPUR,1,Padarathpur (Ct),1,3,1,5,97,243123,2,2,3,5,0,0,3,2,0,0,0,0,0,0,0,10,4,4,0,0,3,3,0,0,1,1,0,0,0,2,1,2,2,Primary (1–5),STANDARD,0,False,False
4991144,UTTAR PRADESH,BAREILLY,MAJHGAWAN,1,Antpur,2,3,1,8,1,243302,2,2,3,17,16,20,37,29,38,32,33,0,0,0,0,222,7,7,0,0,13,11,0,2,2,4,0,0,2,1,1,1,1,Upper Primary (1–8),STANDARD,2,True,True
2255334,UTTAR PRADESH,BAREILLY,BHADPURA,1,Rukampur,1,3,1,5,1,262406,2,2,3,3,7,4,11,5,0,0,0,0,0,0,0,30,1,1,0,0,5,5,0,0,1,1,0,0,2,1,1,1,1,Primary (1–5),STANDARD,0,True,True
7509027,UTTAR PRADESH,BAREILLY,ALAMPUR,1,Ballia,1,3,1,5,5,243402,2,2,3,18,13,9,8,14,0,0,0,0,0,0,0,62,4,2,0,2,6,6,0,0,1,1,0,0,0,2,2,1,1,Primary (1–5),STANDARD,0,False,True
2612583,UTTAR PRADESH,BAREILLY,KYARA,1,Karonda,1,3,1,5,1,243001,2,2,3,9,7,6,8,7,0,0,0,0,0,0,0,37,2,1,1,0,5,2,1,2,1,1,0,0,2,2,1,1,1,Primary (1–5),STANDARD,3,False,True
9391347,UTTAR PRADESH,BAREILLY,NAWABGANJ,1,Hafiz Ganj,1,3,1,5,97,243201,2,2,3,24,4,13,3,2,0,0,0,0,0,0,0,46,4,4,0,0,7,7,0,0,1,1,0,1,0,2,2,2,2,Primary (1–5),STANDARD,0,False,False
6193098,UTTAR PRADESH,BAREILLY,BAHERI,1,Ambarpur,1,3,1,5,1,243201,2,2,3,1,3,5,3,8,0,0,0,0,0,0,0,20,2,2,0,0,4,4,0,0,2,1,0,1,2,2,1,1,1,Primary (1–5),STANDARD,0,False,True
8287163,UTTAR PRADESH,BAREILLY,BHUTA,1,Mankapur,1,3,1,5,1,243503,2,2,3,23,15,18,34,22,0,0,0,0,0,0,0,112,5,3,2,0,3,3,0,0,1,1,0,0,2,2,1,1,1,Primary (1–5),STANDARD,0,False,True
9484350,UTTAR PRADESH,BAREILLY,AONLA,2,,1,3,1,5,97,243301,2,2,3,6,17,5,11,2,0,0,0,0,0,0,0,41,4,4,0,0,7,7,0,0,1,1,0,0,0,2,1,1,2,Primary (1–5),STANDARD,0,False,True
1447411,UTTAR PRADESH,BAREILLY,BAHERI,1,Wasadandi,1,3,1,5,1,243201,2,2,3,10,7,5,11,12,0,0,0,0,0,0,0,45,3,2,1,0,3,2,1,0,1,1,0,0,2,1,1,1,2,Primary (1–5),STANDARD,1,True,True
5445111,UTTAR PRADESH,BAREILLY,BAREILLY TOWN,2,,2,3,1,8,5,243006,2,2,3,13,16,8,15,6,17,21,22,0,0,0,0,118,5,5,0,0,8,8,0,0,2,2,2,0,0,2,1,1,1,Upper Primary (1–8),STANDARD,0,False,True
